meta_n;objective_id;axis_id;articulation_id;name;will_be_delivered;total_cost;schedule_2013_2014;schedule_2015_2016;observation;technically;status;transversalidade;qualitative_progress_1;qualitative_progress_2;qualitative_progress_3;qualitative_progress_4;qualitative_progress_5;qualitative_progress_6;updated_at;id_OrgaoResp;OrgaoResp;SiglaOrgaoResp
1;1;1;6;Inserir aproximadamente 280 mil famílias com renda de até meio salário mínimo no Cadastro Único para atingir 773 mil famílias cadastradas;280 mil famílias inscritas no Cadastro Único;103305927;228.000 famílias cadastradas;52.000 famílias cadastradas;Prioridade para implementação das ações nas Subprefeituras com maior concentração de famílias em situação de extrema pobreza e pobreza. Busca Ativa apoiada pelas áreas de interface e sociedade civil. Disponibilização de espaços públicos e equipamentos municipais para ações cadastrais.;Cadastro Único para Programas Sociais do Governo Federal (Cadastro Único): é um instrumento que identifica e caracteriza as famílias de baixa renda (renda mensal de até meio salário mínimo por pessoa ou renda mensal total de até três salários mínimos). Ele é utilizado por mais de 15 programas sociais do Governo Federal, como o Bolsa Família, Minha Casa Minha Vida, PRONATEC, Tarifa Social de Energia Elétrica, Brasil Carinhoso, etc. Busca Ativa: estratégia do Plano Brasil Sem Miséria que tem como objetivo levar o Estado ao cidadão, sem esperar que as pessoas mais pobres cheguem até o poder público. Um dos grandes desafios do Brasil Sem Miséria é alcançar aqueles que não acessam os serviços públicos e vivem fora de qualquer rede de proteção social.;superada;juventude-viva                                                                sp-carinhosa                                   pop rua;349 mil famílias inseridas no Cadastro Único de janeiro de 2013 a julho de 2014, superando a meta prevista para o final de 2016 em mais de 50%.;O número de famílias cadastradas em dezembro de 2012 era de 493 mil. Em julho de 2013 este número passou para 709.595, chegando a 922.259 em julho de 2014, data da última atualização do CadÚnico. ;350 entrevistadores contratados em novembro de 2013 para a realização de novos cadastros;200 Agentes de Saúde e  22 Agentes de Gestão de Politicas Públicas de Unidades Básicas de Saúde (UBS) capacitados como entrevistadores para a realização de novos cadastros;;;2014-10-30 23:28:05;2;Secretaria Municipal de Assistência Social;SMADS
2;1;1;6;Beneficiar 228 mil novas famílias com o Programa Bolsa Família;Pagamento dos benefícios do Programa Bolsa Família viabilizado;0;171.000 Famílias beneficiadas;57.000 Famílias beneficiadas;A Secretaria Municipal de Assistência e Desenvolvimento Social faz toda a mobilização necessária e executa o cadastramento que viabiliza o pagamento dos benefícios do Programa Bolsa Família (articulação com outras Secretarias e agentes, capacitações, divulgações etc).;Programa Bolsa Família: O Programa Bolsa Família (PBF) é um programa de transferência direta de renda que beneficia famílias em situação de pobreza e de extrema pobreza em todo o País. O Bolsa Família integra o Plano Brasil Sem Miséria (BSM). Linha da extrema Pobreza: renda familiar per capita inferior a R$ 70 mensais. Linha da pobreza: renda familiar per capita entre R$ 70 e R$ 140 mensais.;em andamento com benefícios à população;juventude-viva                                                                sp-carinhosa                                   pop rua;157 mil novas famílias beneficiadas pelo Programa Bolsa Família desde janeiro de 2013. ;O número de famílias beneficiadas pelo Programa é composto pelo número de famílias incluídas menos o número de famílias que deixam de receber o benefício, seja por razões de descumprimento das regras, seja em razão da progressão de renda, podendo haver variação nula ou negativa  no número de famílias beneficiadas.;Para calcular o incremento bruto de beneficiários no Programa Bolsa Família, devemos utilizar como referência o marco zero (janeiro de 2013) e subtrair os demais períodos de levantamento da informação. Para termos o total de inclusão, soma-se os incrementos.;;;;2014-10-30 23:28:06;2;Secretaria Municipal de Assistência Social;SMADS
3;1;1;6;Implantar 60 Centros de Referência da Assistência Social - CRAS;60 CRAS em funcionamento;14532500;25 CRAS;35 CRAS;Os CRAS serão construídos ou adaptados em imóveis alugados ou cedidos. Eles serão dotados de estrutura física com garantia de acessibilidade, estrutura administrativa e recursos humanos, e cada unidade terá a capacidade de referenciar até 5 mil famílias.;Centro de Referência de Assistência Social - CRAS: unidade estatal de proteção social básica do Sistema Único de Assistência Social - SUAS, que tem o objetivo de assegurar a proteção integral à famílias em situação de vulnerabilidade social.;em andamento;sp-mais-inclusiva;2 unidades já com obras concluídas, em fase de implantação de estrutura nas subprefeituras do Itaim Paulista e Jaçanã/Tremembé.  4 unidades em fase de obras: Itaim Paulista, Capela do Socorro, Campo Limpo e Cidade Tiradentes. ;13 unidades com processo licitatório das obras em andamento e outras 13 com terrenos definidos.;80 Assistentes Sociais foram contratados  emergencialmente e capacitados para viabilizar o funcionamento das novas unidades;;;;2014-10-30 23:28:06;2;Secretaria Municipal de Assistência Social;SMADS
4;1;1;6;Implantar 7 Centros de Referência Especializados da Assistência Social - CREAS;7 CREAS em funcionamento;2184500;4 CREAS;3 CREAS;A definição da meta - 7 unidades - responde à diretriz de garantir um equipamento em cada subprefeitura da cidade. Os CREAS serão construidos ou adaptados em imóveis alugados ou cedidos. Eles terão estrutura física adequada para acolher e garantir o atendimento e condições de privacidade, sigilo e dignidade (recepção, sala de atendimento individual e em grupo, sala para administração, banheiros, copa, espaço externo, almoxarifado). A capacidade de atendimento será de aproximadamente 80 famílias/indivíduos mês por unidade.;Centro de Referência Especializado de Assistência Social - CREAS: unidade pública e estatal, que oferta serviços especializados e continuados a famílias e indivíduos em situação de ameaça ou violação de direitos (violência física, psicológica, sexual, tráfico de pessoas, cumprimento de medidas socioeducativas em meio aberto, dentre outros).;em andamento;sp-mais-inclusiva;1 unidade em readequação em fase de obras e implantação de estrutura para o funcionamento na subprefetura de Pinheiros. 1 unidade nova em obras na subprefeitura de Cidade Tiradentes;Projeto básico em andamento para a construção de 2 novos CREAS que serão construidos nas subprefeituras de Parelheiros e Cidade Ademar.;80 Assistentes Sociais foram contratados  emergencialmente e capacitados para viabilizar o funcionamento das novas unidades;;;;2014-10-30 23:28:06;2;Secretaria Municipal de Assistência Social;SMADS
5;1;1;6;Garantir 100.000 vagas do Programa Nacional de Acesso ao Ensino Técnico e Emprego (PRONATEC);100 mil vagas pactuadas com o Governo Federal;0;40.000 vagas;60.000 vagas;Publico-alvo: Beneficiários dos programas de transferência de renda, alunos de Educação de Jovens e Adultos (EJA) inscritos no Cadastro Único e beneficiários do Seguro Desemprego. Um Grupo de Trabalho intersecretarial definirá diretrizes de execução levando em conta as necessidades específicas de populações mais vulneráveis como: juventude (observando os critérios de territórios prioritários do Plano Juventude Viva, descrito em meta específica sobre o tema), mulheres vítimas de violência, negros, índios, transsexuais, população de rua e pessoas com deficiência. O planejamento já prevê 4.000 vagas para famílias em situação de rua, conforme explicado em meta específica sobre o tema.;PRONATEC: Programa Nacional de Acesso ao Ensino Técnico e Emprego criado pelo Governo Federal, em 2011, com o objetivo de ampliar a oferta de cursos de educação profissional e tecnológica.;em andamento com benefícios à população;agenda-pop-rua, sp-mais-inclusiva, juventude-viva;24.818 vagas e 19.966 matrículas efetivadas em 2013. A consolidação do quantitativo de vagas ofertadas em 2014 está em andamento pelo MEC, que é o órgão que detém as informações sobre o Programa.;A instituição do Comitê Gestor Intersecretarial do PRONATEC em abril de 2014 permitiu a oferta de cursos e incorporação de disciplinas nas áreas estratégicas de cultura, economia criativa, saúde e tecnologia da informação e comunicação. ;;;;;2014-10-30 23:28:06;5;Secretaria Municipal de Desenvolvimento, Trabalho e Empreendedorismo;SDTE
6;1;1;6;Formalizar aproximadamente 22.500 microempreendedores individuais;22.500 microempreendedores individuais formalizados;8721206;10.450 microempreendedores individuais;12.050 microempreendedores individuais;O Centro de Apoio ao Trabalho (CAT) realiza sobretudo atendimentos relacionados à intermediação de mão de obra. Porém, dentro da perspectiva de geração de renda, a formalização de micro empreendedores individuais se configura em uma nova modalidade de formalização de agentes econômicos, direcionada aos trabalhadores autônomos e que não se enquadram nos vínculos empregatícios estipulados pela CLT. Esta nova modalidade tem por objetivo a formalização e a promoção de cursos e palestras nos CAT. O público atendido prioritariamente nesses espaços referese àquele considerado de alta vulnerabilidade. Serão definidas diretrizes específicas para definição de público-alvo, levando em conta recortes de gênero, juventude, étnico-racial e pessoas com deficiência.;Microempreendedor Individual (MEI): é a pessoa que trabalha por conta própria e que se legaliza como pequeno empresário. É necessário faturar no máximo até R$ 60 mil por ano e não ter participação em outra empresa como sócio ou titular. O MEI também pode ter um empregado contratado que receba o salário mínimo ou o piso da categoria.;em andamento com benefícios à população;;10.383 Microempreendedores Individuais formalizados de janeiro de 2013 até agosto de 2014. ;Foram 5.825 formalizações em 2013 e 4.558 de janeiro a agosto de 2014.;;;;;2014-10-30 23:28:06;5;Secretaria Municipal de Desenvolvimento, Trabalho e Empreendedorismo;SDTE
7;1;1;6;Ampliar em 20 mil o número de matrículas na Educação de Jovens e Adultos e implantar 3 novos Centros Integrados (CIEJA);3 CIEJAs instalados e 20.000 novas vagas de EJA abertas no município;3030198;1 CIEJA implantado, 12.600 vagas de EJA criadas;2 CIEJAs implantados, 7.400 vagas de EJA criadas;Está em elaboração uma proposta de reorientação curricular que articule a educação escolar com o mundo do trabalho, da cultura e a pratica social, bem como os diferentes atendimentos oferecidos na modalidade EJA: Noturno, modular, CIEJA, CMCT e MOVA. O custo da meta apresentado refere-se à instalação dos 3 novos CIEJAs e o custo das 20 mil novas vagas no período de 1 ano.;"EJA: Educação de Jovens e Adultos
CIEJA: Centro Integrado de Educação de Jovens e Adultos
MOVA: Movimento de Alfabetização
CMCT: Centro Municipal de Capacitação eTreinamento";em andamento com benefícios à população;historia-africa, juventude-viva;6.411 vagas de Educação de Jovens e Adultos criadas até agosto/2014. ;Levantamento de locais para abrigar 3 CIEJAs em andamento.;;;;;2014-10-30 23:28:06;8;Secretaria Municipal de Educação;SME
8;1;1;5;Implantar 5 Centros de Referência Especializados para a população em situação de rua (Centros POP);5 Centros PopRua em funcionamento;1000000;5 Centros PopRua;;Os Centros PopRua fazem parte do Plano Municipal da Política da População em Situação de Rua. O conjunto integrado de ações e entregas desse Plano, incluindo a implantação dos 5 Centros PopRua serão monitorados pelo Comitê Intersetorial criado pelo Decreto n. 53.795/2013.;"População em situação de rua: grupo populacional heterogêneo que possui em comum a pobreza extrema, os vínculos familiares interrompidos ou fragilizados e a inexistência de moradia convencional regular, e que utiliza os logradouros públicos e as áreas degradadas como espaço de moradia e de sustento, de forma temporária ou permanente, bem como as unidades de acolhimento para pernoite temporário ou como moradia provisória (definição dada pelo Decreto
Presidencial nº 7053/2009).
Centros PopRua: Centro de Referência Especializado com rede de atendimento socioassistencial voltado à população adulta, oferecendo: abordagens sistemáticas nas ruas e encaminhamentos para os núcleos de serviços de convivência e centros de acolhida.";em andamento com benefícios à população;agenda-pop-rua, sp-mais-inclusiva;Instalação emergencial de 1 unidade na Vila Maria/Vila Guilherme para atendimento à população em situação de rua no período das baixas temperaturas. Outras 2 unidades já têm endereço definido nas subprefeituras da Sé e Santo Amaro.;Os Centros PopRua fazem parte do Plano Municipal da Política da População em Situação de Rua. ;;;;;2014-10-30 23:28:06;2;Secretaria Municipal de Assistência Social;SMADS
9;1;1;5;Implantar 2 restaurantes comunitários;2 Restaurantes comunitários implantados;620000;2 restaurante comunitário;;A implantação dos restaurantes comunitários visa garantir segurança alimentar à população em situação de rua e faz parte do Plano Municipal da Política da População em Situação de Rua. Essa ação, assim como o conjunto integrado de ações e entregas do Plano será monitorada pelo Comitê Intersetorial criado pelo Decreto n. 53.795/2013.;"Restaurante comunitário: tem a finalidade de servir refeições adequadas para pessoas adultas em situação de rua de forma continuada. Deverá oferecer refeições prontas, saudáveis e de qualidade. Com atendimento prioritário aos grupos da população que se encontram em situação de insegurança alimentar contribui para a
melhoria da saúde e qualidade de vida.";não iniciada;agenda-pop-rua, sp-mais-inclusiva;A implantação dos restaurantes comunitários visa garantir a segurança alimentar da população em situação de rua.  A SMADS está buscando parcerias com as ONGS para viabilizar a implantação em locais já existentes;A ação faz parte do Plano Municipal da Política da População em Situação de Rua.;;;;;2014-10-30 23:28:06;2;Secretaria Municipal de Assistência Social;SMADS
10;1;1;5;Implantar 22 Serviços de Acolhimento Institucional à população em situação de rua;22 Serviços de Acolhimento Institucional implantados;6763025;13 Serviços de Acolhimento;9 Serviços de Acolhimento;A implantação dos serviços de acolhimento compõe o Plano Municipal da Política da População em Situação de Rua e será monitorado em conjunto com as demais ações do Plano pelo Comitê Intersetorial criado pelo Decreto n. 53.795/2013, em consonância com a Politica Nacional de População de Rua. O atendimento prestado deve ser personalizado e em pequenos grupos e favorecer o convívio familiar e comunitário, bem como a utilização de serviços disponíveis na comunidade local. As regras de gestão e de convivência deverão ser construídas de forma participativa e coletiva, a fim de assegurar a autonomia dos usuários, conforme perfis. Serão 12 serviços para atendimento às famílias, 8 para atendimento a adultos de ambos os sexos e 2 para carroceiros.;Serviço de Acolhimento Institucional: acolhimento em diferentes tipos de equipamentos, destinado a famílias e/ou indivíduos com vínculos familiares rompidos ou fragilizados, a fim de garantir proteção integral. A organização do serviço deverá garantir privacidade, o respeito aos costumes, às tradições e à diversidade de: ciclos de vida, arranjos, raça/etnia, gênero e orientação sexual.;em andamento com benefícios à população;agenda-pop-rua, sp-mais-inclusiva;9 novos serviços implantados nas subprefeituras da Vila Maria/Vila Guilherme, Capela do Socorro, Casa Verde/Cachoeirinha, Mooca e Sé.;3 unidades em fase de finalização (obras ou estruturação) nas subprefeituras  de Ermelino Matarazzo, Penha e Santo Amaro;;;;;2014-10-30 23:28:06;2;Secretaria Municipal de Assistência Social;SMADS
