Subprefeitura;Subprefeito;Site;Email;Telefone;Endereço
Aricanduva;Quintino Simões Pinto;http://aricanduva.prefeitura.sp.gov.br;aricanduva@prefeitura.sp.gov.br;PABX: 3396-0800;R. Atucuri, 699 - CEP 03411-000
Butantã;Maria Rosa da Silva;http://butanta.prefeitura.sp.gov.br;butantanap@prefeitura.sp.gov.br;PABX: 3397-4600;R. Ulpiano da Costa Manso, 201 - CEP 05538-000
Campo Limpo;Sérgio Roberto dos Santos;http://campolimpo.prefeitura.sp.gov.br;campolimpo@prefeitura.sp.gov.br;PABX: 3397-0500;R. Nossa Senhora do Bom Conselho, 59 - CEP 05763-470
Capela do Socorro;Cleide Pandolfi;http://capeladosocorro.prefeitura.sp.gov.br;capeladosocorro@prefeitura.sp.gov.br;PABX: 3397-2700;R. Cassiano dos Santos, 499 - CEP 04827-000
Casa Verde;Luiz Fernando Queimadelos Gomez;http://casaverde.prefeitura.sp.gov.br;casaverde@prefeitura.sp.gov.br;PABX: 2813-3250;Av. Ordem e Progresso, 1001 - CEP 02518-130
Cidade Ademar;Francisco Lo Prete Filho;http://cidadeademar.prefeitura.sp.gov.br;cidadeademar@prefeitura.sp.gov.br;PABX: 5670-7000;Av. Yervant Kissajikain, 416 - CEP 04657-000
Cidade Tiradentes;Adriana Neves da Silva Morales;http://cidadetiradentes.prefeitura.sp.gov.br;tiradentes@prefeitura.sp.gov.br;PABX: 3396-0000;Estrada do Iguatemi, 2751 - CEP 08375-000
Ermelino Matarazzo;Sandra Regina Mancilla Lourenço;http://ermelinomatarazzo.prefeitura.sp.gov.br;ermelinomatarazzo@prefeitura.sp.gov.br;PABX: 2048-6585;Av. São Miguel, 5550 - CEP 03871-100
Freguesia;Bruno Ghizellini Neto;http://freguesia.prefeitura.sp.gov.br;freguesia@prefeitura.sp.gov.br;PABX: 3981-5000;Av. João Marcelino Branco, 95 - CEP 02610-000
Guaianases;Roberval Dias Torres;http://guaianases.prefeitura.sp.gov.br;guaianazes@prefeitura.sp.gov.br;PABX: 2557-7099;Praça de Estrada Itaquera-Guaianases, 2565 - CEP 08420-000
Ipiranga;Alcides Gaspareto Júnior;http://ipiranga.prefeitura.sp.gov.br;ipiranga@prefeitura.sp.gov.br;PABX: 2808-3600;R. Lino Coutinho, 444 - CEP 04207 000
Itaim Paulista;Miguel Ângelo Gianetti;http://itaimpaulista.prefeitura.sp.gov.br;itaimpaulista@prefeitura.sp.gov.br;PABX: 2944-6555;Av. Marechal Tito 3012, CEP: 08115-000
Itaquera;Mauricio Luis Martins;http://itaquera.prefeitura.sp.gov.br;itaqueragabinete@prefeitura.sp.gov.br;PABX: 2561-6064;R Augusto Carlos Bauman, 851 CEP: 08210-590
Jabaquara;Wander Geraldo da Silva;http://jabaquara.prefeitura.sp.gov.br;jabaquara@prefeitura.sp.gov.br;PABX: 3397-3200;Av. Engº Armando de Arruda Pereira, 2314 - CEP 04309-011
Jaçanã/Tremembé;José Carlos Miranda;http://jacana-tremembe.prefeitura.sp.gov.br;tremembe@prefeitura.sp.gov.br;PABX: 3397-1000;Av. Luis Stamatis, 300 - CEP 02260-000
