id,name,name_url,description,city_id,upper_region,depth_level,created_at,created_by,automatic_fill,polygon_path,subregions_valid_after,id,name,uf,pais,latitude,longitude,created_at,name_uri,telefone_prefeitura,endereco_prefeitura,bairro_prefeitura,cep_prefeitura,email_prefeitura,nome_responsavel_prefeitura,summary,state_id,country_id,automatic_fill
306,São Lucas,+s-o-lucas,,1,303,3,2013-06-14 16:01:04.088481,1,f,l_|nCxfd{G{@GaAGuHg@UAn@aEtAcJV_B^iCXgBnAgI?Al@aEb@yCFe@Lu@Hq@Hu@@A@K`@{CV{BZeBh@uCFe@`AyGHa@NkAp@qEBMn@iEPgAZuBl@e@FIRS`@m@bJqNR_@^{ABGj@{BZ]l@s@XSXULKr@e@NMXQ|@s@`@[VUz@q@DEJIVQ\WPKDAb@Q`A[v@[JG`Bs@|C{APKr@]TKRIRGBANCLCj@E@?B?FAB?DBB@B@JD`@N@@JD\J^NLDVJlBr@RF`@PHBr@VpBr@LD~Aj@~Bz@\LFBJB?@@?B@|@ZXJLDRHRFLFdA^v@VfDlAHDj@Rh@RrBv@t@VTHbDlAXJbBgBX]R]DI@CBE@A@ADKLU^}@Tq@TcAH]DS@C@E@IJa@DUF[H]?ADMz@cE^eBh@aC^eBj@iCLi@H_@Nw@Pm@Tq@JWBIBGBERe@NYHOFKXe@b@w@|@qAb@q@P[|@yAFIPe@Pa@FUPHp@Xx@\nDxANFF_@Hg@FO@CHOb@c@l@q@d@i@HKPSPWBKBKAYAOEWMw@Kg@Ic@Mw@?MBKDKPSTYLMTQh@YHGd@]^WTQNKb@YLIv@g@LIl@c@^WZONNlAdAp@l@DBv@j@t@`@DB@@h@VVLXJXJTJLD`@PRJD@ZVJHLJX^JLLR`@\ZTTJHDp@Zb@LF@hATXD`@HX@VCVGB?RMZSLMLW?CF[HSJORKFEf@SFEFEHEJGLIZYNMNKZ[FG\[NOPQXO\KZI^A@A@???@?@?BAJXDLFL@B@B?P?DBJFX@L?JAdAAn@?J?XAd@CPEXCPIb@?FAH?H@TD^@V?LAz@?j@Cb@GxBCd@?@?T@^@nA??AnAAf@Ad@Az@Ah@Cp@@D@DBDBDJTPl@N`@LZJ\`@hALZ`@l@DN@D?DCNGTGNIJMJMNWZINKRGPCL?L?F?D???@@@?@?F???H@`@B^Ft@Hj@H`@H|@HtA@j@???VCNEJKLGHGPMb@MVOT]b@KP]z@]|@Yx@ITGHQRQPORW`@Q`@EHO\GLEHUj@O^ITKVWf@Y`@_@`@OP[h@MRABCBCDCDCBCFEFEHa@v@KRCDABKLIHKLWb@GLMRGLINKPIPKPGJ[l@[l@m@lAWh@A@EHINm@hAc@x@_@n@]p@Yf@c@x@g@`AU`@_@r@OXIRITMXKLURWPq@\_Af@s@\YPe@^yAlA{@n@KLGJELCN?H@NJ^ZlA^|AH\BHGF]f@[p@Qf@G`@ETGt@?d@Bt@Jj@Lb@Rb@V^d@d@hC~Be@l@CDAFCFCFKHUL[Ha@F[BY???YBa@@I?KAKAc@?_@@IAMAQ?]?G?S?y@@s@Ao@?[AI?MAOCC?G@E?G?MAOAGESOc@We@_@o@i@e@]YYEKCKAGCE{@QsCk@{A[oA~CSGiBOy@AsBE}@@S@MNITe@jAc@bACHo@xAc@dASb@Qd@OXABOPk@p@mArAu@|@MRKVIZCXCVEb@y@MMEGRGXAV@PBHBFFFFHBL?HEFGFiCxCM`@Ur@]jAUv@Sr@e@|ACLUt@GLWX}@t@]`@UXMLq@l@a@ZiAz@IHg@^kCnCQPqAjAmB~AOLkB|ASNqAfA_Ar@a@ZYP[LGBA?iBd@iCt@sCx@??eEjA{@T{F`BgD~@QHIDEBIBQsDU{ESiEQAc@BSDw@PI@u@NGg@QoAKu@M{@]cCM}@M}@U}AIm@AU?C??AM?ULmCHwALkC}CSk@Ea@C{AKyAKyCScAG,,1,São Paulo,SP,br,-23.56288,-46.654659,2012-09-28 03:55:36.899955,sao-paulo,(11) 3113-8000,"Rua Doutor Falcão Filho, 56",Centro,01007-010,,,"São Paulo (pronuncia-se AFI: [sɐ̃w̃ ˈpawlu] link=. ouça) é um município brasileiro, capital do estado de São Paulo e principal centro financeiro, corporativo e mercantil da América do Sul. É a cidade mais populosa do Brasil, do continente americano e de todo o hemisfério sul, e a cidade brasileira mais influente no cenário global, sendo considerada a 14ª cidade mais globalizada do planeta, recebendo a classificação de cidade global alfa, por parte do Globalization and World Cities Study Group & Network (GaWC). O lema da cidade, presente em seu brasão oficial, é ""Non ducor, duco"", frase latina que significa ""Não sou conduzido, conduzo"".",17,1,f
227,Penha,penha,,1,,2,2013-06-14 16:01:04.088481,1,f,,2000-01-01 00:00:00,1,São Paulo,SP,br,-23.56288,-46.654659,2012-09-28 03:55:36.899955,sao-paulo,(11) 3113-8000,"Rua Doutor Falcão Filho, 56",Centro,01007-010,,,"São Paulo (pronuncia-se AFI: [sɐ̃w̃ ˈpawlu] link=. ouça) é um município brasileiro, capital do estado de São Paulo e principal centro financeiro, corporativo e mercantil da América do Sul. É a cidade mais populosa do Brasil, do continente americano e de todo o hemisfério sul, e a cidade brasileira mais influente no cenário global, sendo considerada a 14ª cidade mais globalizada do planeta, recebendo a classificação de cidade global alfa, por parte do Globalization and World Cities Study Group & Network (GaWC). O lema da cidade, presente em seu brasão oficial, é ""Non ducor, duco"", frase latina que significa ""Não sou conduzido, conduzo"".",17,1,f
256,Campo Limpo,campo-limpo,,1,,2,2013-06-14 16:01:04.088481,1,f,,2000-01-01 00:00:00,1,São Paulo,SP,br,-23.56288,-46.654659,2012-09-28 03:55:36.899955,sao-paulo,(11) 3113-8000,"Rua Doutor Falcão Filho, 56",Centro,01007-010,,,"São Paulo (pronuncia-se AFI: [sɐ̃w̃ ˈpawlu] link=. ouça) é um município brasileiro, capital do estado de São Paulo e principal centro financeiro, corporativo e mercantil da América do Sul. É a cidade mais populosa do Brasil, do continente americano e de todo o hemisfério sul, e a cidade brasileira mais influente no cenário global, sendo considerada a 14ª cidade mais globalizada do planeta, recebendo a classificação de cidade global alfa, por parte do Globalization and World Cities Study Group & Network (GaWC). O lema da cidade, presente em seu brasão oficial, é ""Non ducor, duco"", frase latina que significa ""Não sou conduzido, conduzo"".",17,1,f
260,Santo Amaro,santo-amaro,,1,,2,2013-06-14 16:01:04.088481,1,f,,2000-01-01 00:00:00,1,São Paulo,SP,br,-23.56288,-46.654659,2012-09-28 03:55:36.899955,sao-paulo,(11) 3113-8000,"Rua Doutor Falcão Filho, 56",Centro,01007-010,,,"São Paulo (pronuncia-se AFI: [sɐ̃w̃ ˈpawlu] link=. ouça) é um município brasileiro, capital do estado de São Paulo e principal centro financeiro, corporativo e mercantil da América do Sul. É a cidade mais populosa do Brasil, do continente americano e de todo o hemisfério sul, e a cidade brasileira mais influente no cenário global, sendo considerada a 14ª cidade mais globalizada do planeta, recebendo a classificação de cidade global alfa, por parte do Globalization and World Cities Study Group & Network (GaWC). O lema da cidade, presente em seu brasão oficial, é ""Non ducor, duco"", frase latina que significa ""Não sou conduzido, conduzo"".",17,1,f
264,Lapa,lapa,,1,,2,2013-06-14 16:01:04.088481,1,f,,2000-01-01 00:00:00,1,São Paulo,SP,br,-23.56288,-46.654659,2012-09-28 03:55:36.899955,sao-paulo,(11) 3113-8000,"Rua Doutor Falcão Filho, 56",Centro,01007-010,,,"São Paulo (pronuncia-se AFI: [sɐ̃w̃ ˈpawlu] link=. ouça) é um município brasileiro, capital do estado de São Paulo e principal centro financeiro, corporativo e mercantil da América do Sul. É a cidade mais populosa do Brasil, do continente americano e de todo o hemisfério sul, e a cidade brasileira mais influente no cenário global, sendo considerada a 14ª cidade mais globalizada do planeta, recebendo a classificação de cidade global alfa, por parte do Globalization and World Cities Study Group & Network (GaWC). O lema da cidade, presente em seu brasão oficial, é ""Non ducor, duco"", frase latina que significa ""Não sou conduzido, conduzo"".",17,1,f
271,Ipiranga,ipiranga,,1,,2,2013-06-14 16:01:04.088481,1,f,,2000-01-01 00:00:00,1,São Paulo,SP,br,-23.56288,-46.654659,2012-09-28 03:55:36.899955,sao-paulo,(11) 3113-8000,"Rua Doutor Falcão Filho, 56",Centro,01007-010,,,"São Paulo (pronuncia-se AFI: [sɐ̃w̃ ˈpawlu] link=. ouça) é um município brasileiro, capital do estado de São Paulo e principal centro financeiro, corporativo e mercantil da América do Sul. É a cidade mais populosa do Brasil, do continente americano e de todo o hemisfério sul, e a cidade brasileira mais influente no cenário global, sendo considerada a 14ª cidade mais globalizada do planeta, recebendo a classificação de cidade global alfa, por parte do Globalization and World Cities Study Group & Network (GaWC). O lema da cidade, presente em seu brasão oficial, é ""Non ducor, duco"", frase latina que significa ""Não sou conduzido, conduzo"".",17,1,f
275,Capela do Socorro,capela-do-socorro,,1,,2,2013-06-14 16:01:04.088481,1,f,,2000-01-01 00:00:00,1,São Paulo,SP,br,-23.56288,-46.654659,2012-09-28 03:55:36.899955,sao-paulo,(11) 3113-8000,"Rua Doutor Falcão Filho, 56",Centro,01007-010,,,"São Paulo (pronuncia-se AFI: [sɐ̃w̃ ˈpawlu] link=. ouça) é um município brasileiro, capital do estado de São Paulo e principal centro financeiro, corporativo e mercantil da América do Sul. É a cidade mais populosa do Brasil, do continente americano e de todo o hemisfério sul, e a cidade brasileira mais influente no cenário global, sendo considerada a 14ª cidade mais globalizada do planeta, recebendo a classificação de cidade global alfa, por parte do Globalization and World Cities Study Group & Network (GaWC). O lema da cidade, presente em seu brasão oficial, é ""Non ducor, duco"", frase latina que significa ""Não sou conduzido, conduzo"".",17,1,f
279,Vila Mariana,vila-mariana,,1,,2,2013-06-14 16:01:04.088481,1,f,,2000-01-01 00:00:00,1,São Paulo,SP,br,-23.56288,-46.654659,2012-09-28 03:55:36.899955,sao-paulo,(11) 3113-8000,"Rua Doutor Falcão Filho, 56",Centro,01007-010,,,"São Paulo (pronuncia-se AFI: [sɐ̃w̃ ˈpawlu] link=. ouça) é um município brasileiro, capital do estado de São Paulo e principal centro financeiro, corporativo e mercantil da América do Sul. É a cidade mais populosa do Brasil, do continente americano e de todo o hemisfério sul, e a cidade brasileira mais influente no cenário global, sendo considerada a 14ª cidade mais globalizada do planeta, recebendo a classificação de cidade global alfa, por parte do Globalization and World Cities Study Group & Network (GaWC). O lema da cidade, presente em seu brasão oficial, é ""Non ducor, duco"", frase latina que significa ""Não sou conduzido, conduzo"".",17,1,f
307,Ermelino Matarazzo,ermelino-matarazzo,,1,,2,2013-06-14 16:01:04.088481,1,f,,2000-01-01 00:00:00,1,São Paulo,SP,br,-23.56288,-46.654659,2012-09-28 03:55:36.899955,sao-paulo,(11) 3113-8000,"Rua Doutor Falcão Filho, 56",Centro,01007-010,,,"São Paulo (pronuncia-se AFI: [sɐ̃w̃ ˈpawlu] link=. ouça) é um município brasileiro, capital do estado de São Paulo e principal centro financeiro, corporativo e mercantil da América do Sul. É a cidade mais populosa do Brasil, do continente americano e de todo o hemisfério sul, e a cidade brasileira mais influente no cenário global, sendo considerada a 14ª cidade mais globalizada do planeta, recebendo a classificação de cidade global alfa, por parte do Globalization and World Cities Study Group & Network (GaWC). O lema da cidade, presente em seu brasão oficial, é ""Non ducor, duco"", frase latina que significa ""Não sou conduzido, conduzo"".",17,1,f
295,Bela Vista,+bela-vista,,1,287,3,2013-06-14 16:01:04.088481,1,f,p|vnCxwu{GGA[KQG[QQQOQKQGOESG[CMxAa@@?nDaA`FsAn@QZMh@Yf@[TQX]BEJON[JUJ[XeAbAsD?A`@uANm@Jm@D]D_@NsBLsAL_BTwCFi@ZiD^}D@?~GtBlDbAvA`@b@Nl@\t@b@|@l@NHl@^v@\h@Np@RRF`@Jx@Ln@Dr@FvAHr@BB?b@Bn@DzAN`ALdC\fAPl@Hz@Fl@BhAAZ?|@IdAEdA?x@?xDL\B??~DNhFTfENrDNlCLENMf@GPU|@GPGLeCfD]h@{BrDs@`AoA`BmG~IcDvE{EzGKLsFfHo@x@aFnGcGvH{CzDyD|E??uBnCqLfNIGgGkEiCkBOKOM??AAqA_AMIk@c@A?q@g@mA{@OKYS_Aq@GECE[u@GMKUe@gA[u@_A{Bw@iBWk@]y@}@uBGMISO]c@cAUg@ACSc@Wo@_AyBKSMm@i@cCMi@_@eBe@qBScAIMl@mB,,1,São Paulo,SP,br,-23.56288,-46.654659,2012-09-28 03:55:36.899955,sao-paulo,(11) 3113-8000,"Rua Doutor Falcão Filho, 56",Centro,01007-010,,,"São Paulo (pronuncia-se AFI: [sɐ̃w̃ ˈpawlu] link=. ouça) é um município brasileiro, capital do estado de São Paulo e principal centro financeiro, corporativo e mercantil da América do Sul. É a cidade mais populosa do Brasil, do continente americano e de todo o hemisfério sul, e a cidade brasileira mais influente no cenário global, sendo considerada a 14ª cidade mais globalizada do planeta, recebendo a classificação de cidade global alfa, por parte do Globalization and World Cities Study Group & Network (GaWC). O lema da cidade, presente em seu brasão oficial, é ""Non ducor, duco"", frase latina que significa ""Não sou conduzido, conduzo"".",17,1,f
